id_releve;X;Y;echantillonnage;provenance;parc
14;6.710117;44.171147;2019;gueguen;pnm
16;6.759926;44.260676;2019;gueguen;pnm
17;6.734981;44.221237;2019;gueguen;pnm
26;6.757297;44.260352;2019;gueguen;pnm
27;6.738038;44.221656;2019;gueguen;pnm
34;6.715335;44.169467;2019;gueguen;pnm
36;6.755323;44.258938;2019;gueguen;pnm
37;6.739928;44.222746;2019;gueguen;pnm
44;6.717505;44.168391;2019;gueguen;pnm
46;6.754584;44.257852;2019;gueguen;pnm
47;6.741742;44.222684;2019;gueguen;pnm
56;6.753509;44.256733;2019;gueguen;pnm
57;6.744655;44.22228;2019;gueguen;pnm
64;6.72042;44.16668;2019;gueguen;pnm
66;6.756151;44.261372;2019;gueguen;pnm
67;6.74568;44.221286;2019;gueguen;pnm
76;6.754375;44.262478;2019;gueguen;pnm
84;6.723605;44.16448;2019;gueguen;pnm
86;6.750691;44.262256;2019;gueguen;pnm
107;6.764267;44.262576;2019;gueguen;pnm
116;6.732793;44.222989;2019;gueguen;pnm
188;6.820283;44.178095;2019;gueguen;pnm
193;6.770083;44.269327;2019;gueguen;pnm
198;6.823124;44.176667;2019;gueguen;pnm
203;6.773387;44.261565;2019;gueguen;pnm
208;6.826277;44.179412;2019;gueguen;pnm
218;6.827925;44.177807;2019;gueguen;pnm
346;6.733599;44.255056;2019;gueguen;pnm
356;6.735114;44.256402;2019;gueguen;pnm
366;6.735637;44.258367;2019;gueguen;pnm
486;6.720951;44.203672;2019;gueguen;pnm
495;6.726424;44.202592;2019;gueguen;pnm
505;6.728575;44.202607;2019;gueguen;pnm
515;6.729596;44.201548;2019;gueguen;pnm
525;6.730907;44.200762;2019;gueguen;pnm
534;6.736238;44.201213;2019;gueguen;pnm
376b;6.736497;44.259449;2019;gueguen;pnm
386b;6.737455;44.260637;2019;gueguen;pnm
A13;7.419902;43.991054;2019;gueguen;pnm
A23;7.420987;43.99258;2019;gueguen;pnm
A234;7.375146;44.034902;2019;gueguen;pnm
A244;7.387389;44.037724;2019;gueguen;pnm
A254;7.3941;44.041291;2019;gueguen;pnm
A264;7.394318;44.042939;2019;gueguen;pnm
A274;7.395582;44.044436;2019;gueguen;pnm
A286;7.421378;44.04078;2019;gueguen;pnm
A296;7.422816;44.038673;2019;gueguen;pnm
A306;7.422774;44.035798;2019;gueguen;pnm
A326;7.423697;44.030572;2019;gueguen;pnm
A336;7.415693;44.026711;2019;gueguen;pnm
A346;7.415474;44.021554;2019;gueguen;pnm
A43;7.421982;43.994501;2019;gueguen;pnm
A63;7.423754;43.996718;2019;gueguen;pnm
544;6.737848;44.201746;2019;gueguen;pnm
28;6.762313;44.226274;2018;gueguen;pnm
38;6.759913;44.228012;2018;gueguen;pnm
48;6.760746;44.217263;2018;gueguen;pnm
58;6.762115;44.215974;2018;gueguen;pnm
