"","taxon","occu","occuI","occuS","pVu","pVuI","pVuS","pE","X2.5.","X97.5.","pF","X2.5..1","X97.5..1","probam_meth_sp...10.","probainf_meth_sp...10.","probasup_meth_sp...10.","probam_meth_sp...9.","probainf_meth_sp...9.","probasup_meth_sp...9."
"1","Anonconotus ghiliani",0.02,0,0.11,0.17,0.03,0.48,0.02,0,0.1,0.04,0,0.14,0.67,0.19,0.98,0.62,0.17,0.97
"2","Anonconotus mercantouri",0.28,0.14,0.46,0.31,0.21,0.42,0.01,0,0.02,0.07,0.03,0.12,0.88,0.77,0.96,0.84,0.7,0.94
"3","Anonconotus occidentalis",0.06,0.01,0.16,0.44,0.26,0.62,0.01,0,0.06,0.09,0.03,0.18,0.96,0.84,1,0.94,0.79,0.99
"4","Antaxius pedestris",0.21,0.08,0.49,0.15,0.06,0.29,0.01,0,0.03,0.03,0.01,0.09,0.62,0.31,0.88,0.56,0.26,0.84
"5","Arcyptera fusca",0.48,0.34,0.63,0.4,0.32,0.48,0.26,0.19,0.33,0.06,0.03,0.1,0.99,0.97,0.99,0.98,0.96,0.99
"6","Bicolorana bicolor",0.23,0.12,0.39,0.34,0.22,0.49,0.2,0.11,0.32,0.08,0.03,0.14,0.97,0.91,0.99,0.96,0.88,0.99
"7","Calliptamus italicus",0.02,0,0.19,0.09,0.01,0.33,0.01,0,0.08,0.02,0,0.09,0.48,0.09,0.93,0.44,0.08,0.89
"8","Calliptamus siciliae",0.1,0.04,0.22,0.52,0.4,0.62,0.01,0,0.03,0.16,0.1,0.24,0.99,0.97,1,0.97,0.93,0.99
"9","Chorthippus dorsatus",0.64,0.5,0.76,0.63,0.56,0.7,0.28,0.22,0.35,0.45,0.38,0.52,1,1,1,1,1,1
"10","Decticus verrucivorus verrucivorus",0.28,0.17,0.42,0.48,0.38,0.57,0.38,0.29,0.47,0.22,0.15,0.31,1,1,1,1,0.99,1
"11","Depressotetrix depressa",0.02,0,0.18,0.13,0.02,0.46,0.02,0,0.16,0.04,0,0.16,0.6,0.1,0.98,0.55,0.09,0.97
"12","Ephippiger terrestris",0.12,0.05,0.24,0.88,0.78,0.94,0.51,0.38,0.63,0.7,0.57,0.8,1,1,1,1,1,1
"13","Euchorthippus declivus",0.52,0.38,0.66,0.77,0.7,0.84,0.35,0.27,0.42,0.51,0.43,0.59,1,1,1,1,1,1
"14","Euchorthippus elegantulus",0.01,0,0.07,0.72,0.55,0.86,0.51,0.35,0.66,0.32,0.18,0.46,1,1,1,1,1,1
"15","Eupholidoptera chabrieri",0.59,0.43,0.75,0.25,0.18,0.34,0.1,0.06,0.15,0.03,0.01,0.05,0.87,0.78,0.94,0.86,0.75,0.93
"16","Euthystira brachyptera",0.04,0,0.19,0.15,0.03,0.41,0.02,0,0.11,0.08,0.01,0.25,0.7,0.23,0.98,0.6,0.16,0.94
"17","Gomphocerippus apricarius",0.78,0.65,0.88,0.54,0.47,0.6,0.27,0.22,0.33,0.19,0.14,0.24,1,1,1,1,0.99,1
"18","Gomphocerippus biguttulus",0.64,0.47,0.78,0.78,0.72,0.83,0.26,0.2,0.32,0.59,0.52,0.66,1,1,1,1,1,1
"19","Gomphocerippus brunneus brunneus",0.01,0,0.04,0.72,0.48,0.89,0.32,0.13,0.57,0.43,0.22,0.65,1,1,1,1,0.99,1
"20","Gomphocerippus saulcyi daimei",0.14,0.02,0.61,0.05,0.01,0.18,0,0,0.03,0.01,0,0.04,0.29,0.07,0.71,0.26,0.06,0.66
"21","Gomphocerippus vagans vagans",0.2,0.1,0.35,0.32,0.19,0.47,0.03,0.01,0.08,0.09,0.04,0.16,0.91,0.78,0.98,0.87,0.7,0.97
"22","Gomphocerus sibiricus sibiricus",0.05,0.01,0.14,0.66,0.5,0.79,0.49,0.4,0.59,0.34,0.25,0.43,1,1,1,1,1,1
"23","Gryllus campestris",0.01,0,0.09,0.29,0.09,0.56,0.03,0,0.13,0.09,0.01,0.26,0.86,0.47,1,0.81,0.4,0.99
"24","Leptophyes punctatissima",0.05,0.01,0.21,0.1,0.04,0.23,0.01,0,0.03,0.08,0.02,0.17,0.61,0.34,0.87,0.45,0.2,0.73
"25","Metrioptera saussuriana",0.05,0.01,0.14,0.42,0.22,0.65,0.18,0.04,0.39,0.07,0.01,0.18,0.97,0.87,1,0.96,0.84,1
"26","Myrmeleotettix maculatus",0.04,0.01,0.13,0.5,0.31,0.69,0.29,0.18,0.43,0.35,0.23,0.48,1,0.99,1,0.99,0.97,1
"27","Nemobius sylvestris",0.14,0.05,0.29,0.07,0.03,0.15,0.3,0.19,0.42,0.02,0,0.04,0.89,0.75,0.97,0.88,0.74,0.96
"28","Oecanthus pellucens",0.01,0,0.05,0.19,0.09,0.33,0.01,0,0.05,0.35,0.21,0.5,0.95,0.87,0.99,0.66,0.41,0.88
"29","Oedipoda caerulescens caerulescens",0.03,0,0.13,0.2,0.09,0.37,0.01,0,0.04,0.02,0,0.07,0.71,0.43,0.93,0.68,0.4,0.91
"30","Oedipoda germanica",0.21,0.1,0.36,0.33,0.21,0.47,0.01,0,0.03,0.04,0.01,0.09,0.89,0.75,0.97,0.87,0.71,0.96
"31","Omocestus haemorrhoidalis",0.27,0.16,0.41,0.43,0.32,0.53,0.09,0.04,0.14,0.36,0.28,0.46,1,0.99,1,0.96,0.9,0.99
"32","Omocestus raymondi raymondi",0.04,0.01,0.12,0.37,0.19,0.57,0.27,0.11,0.47,0.05,0.01,0.15,0.98,0.9,1,0.97,0.89,1
"33","Omocestus rufipes",0,0,0.03,0.74,0.5,0.89,0.82,0.55,0.97,0.26,0.08,0.51,1,1,1,1,1,1
"34","Omocestus viridulus",0.24,0.13,0.39,0.4,0.3,0.51,0.3,0.21,0.4,0.22,0.14,0.31,1,0.99,1,0.99,0.96,1
"35","Pezotettix giornae",0.01,0,0.06,0.81,0.67,0.9,0.02,0,0.06,0.57,0.44,0.69,1,1,1,1,1,1
"36","Pholidoptera aptera",0.06,0.01,0.21,0.16,0.04,0.4,0.09,0.01,0.26,0.03,0,0.11,0.74,0.33,0.98,0.71,0.3,0.97
"37","Pholidoptera fallax",0.04,0.01,0.17,0.2,0.06,0.43,0.04,0,0.14,0.05,0.01,0.15,0.76,0.4,0.97,0.71,0.34,0.96
"38","Pholidoptera griseoaptera",0.1,0.03,0.33,0.13,0.05,0.27,0.01,0,0.03,0.02,0,0.07,0.58,0.28,0.84,0.54,0.24,0.8
"39","Platycleis albopunctata",0.43,0.26,0.64,0.34,0.27,0.43,0.05,0.02,0.08,0.05,0.02,0.08,0.92,0.86,0.97,0.9,0.83,0.95
"40","Podisma dechambrei",0.24,0.13,0.38,0.49,0.38,0.59,0.01,0,0.03,0.06,0.03,0.11,0.97,0.93,0.99,0.96,0.91,0.99
"41","Podisma pedestris",0.02,0,0.18,0.13,0.02,0.45,0.02,0,0.15,0.04,0,0.17,0.6,0.1,0.98,0.55,0.08,0.97
"42","Polysarcus denticauda",0.09,0.02,0.42,0.11,0.02,0.38,0.04,0,0.14,0.02,0,0.09,0.56,0.13,0.96,0.53,0.12,0.94
"43","Pseudochorthippus parallelus",0.41,0.28,0.56,0.71,0.63,0.79,0.47,0.38,0.56,0.55,0.46,0.63,1,1,1,1,1,1
"44","Psophus stridulus",0.14,0.06,0.28,0.34,0.2,0.5,0.07,0.02,0.16,0.06,0.02,0.13,0.93,0.79,0.99,0.9,0.75,0.98
"45","Roeseliana roeselii",0.16,0.08,0.29,0.42,0.29,0.55,0.21,0.11,0.32,0.08,0.03,0.15,0.98,0.95,1,0.98,0.93,1
"46","Sepiana sepium",0.01,0,0.07,0.29,0.06,0.68,0.04,0,0.2,0.08,0.01,0.29,0.83,0.35,1,0.79,0.31,1
"47","Stauroderus scalaris",0.82,0.71,0.9,0.75,0.69,0.8,0.6,0.54,0.66,0.33,0.27,0.38,1,1,1,1,1,1
"48","Stenobothrus cotticus",0.01,0,0.06,0.59,0.38,0.77,0.46,0.31,0.61,0.27,0.15,0.4,1,1,1,1,0.99,1
"49","Stenobothrus lineatus",0.73,0.6,0.84,0.61,0.55,0.67,0.27,0.21,0.32,0.18,0.14,0.23,1,1,1,1,1,1
"50","Stenobothrus nigromaculatus",0.32,0.18,0.48,0.58,0.48,0.68,0.32,0.24,0.4,0.38,0.3,0.47,1,1,1,1,0.99,1
"51","Stenobothrus rubicundulus",0.01,0,0.14,0.13,0.02,0.49,0.02,0,0.16,0.04,0,0.18,0.61,0.11,0.99,0.56,0.09,0.98
"52","Tessellana tessellata",0,0,0.03,0.43,0.2,0.68,0.04,0,0.16,0.17,0.04,0.39,0.96,0.8,1,0.92,0.7,1
"53","Tettigonia cantans",0.09,0.03,0.21,0.33,0.17,0.53,0.02,0,0.07,0.08,0.02,0.19,0.9,0.7,0.99,0.85,0.62,0.98
"54","Tettigonia viridissima",0.06,0.01,0.18,0.21,0.09,0.4,0.01,0,0.05,0.04,0.01,0.12,0.75,0.45,0.95,0.7,0.39,0.93
"55","Tylopsis lilifolia",0,0,0.02,0.77,0.56,0.91,0.32,0.13,0.56,0.3,0.13,0.52,1,1,1,1,1,1
"56","Yersinella beybienkoi",0.11,0.04,0.24,0.58,0.45,0.69,0.01,0,0.04,0.16,0.09,0.24,0.99,0.98,1,0.98,0.95,1
